stor_name,freq (MHz),precision (MHz),pi (mus),h_pi (mus),gain (DAC units),last_update
M1-S1,352.8646394397659,,1.8610012374693978,0.9305006187346989,3565,2025-12-09 11:01:09.540616
M1-S2,524.7320407642399,,1.8803799795522984,0.9401899897761492,4490,2025-12-09 11:05:12.237531
M1-S3,700.8686805710045,,1.8579717117931858,0.9289858558965929,4511,2025-12-09 11:09:15.044775
M1-S4,880.813564008455,,1.5384061858428772,0.7692030929214386,9033,2025-12-09 11:13:17.493516
M1-S5,1057.1863871292173,,1.8767703908073397,0.9383851954036698,9987,2025-12-09 11:17:20.123557
M1-S6,1248.764436536901,,1.8613095166588791,0.9306547583294396,13802,2025-12-09 11:21:23.129555
M1-S7,1426.9716321043352,,3.448308634611929,1.7241543173059646,9009,2025-12-09 11:56:32.673570
M1-S8,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S9,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S10,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S11,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S12,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1,2004.0169040021958,,0.5672497380395822,0.2785332141072775,8000,2025-12-09 10:47:05.140869
M2,1834.95,0.01,1.054456464253018,0.5205148610361164,15000,2025-04-30 11:22:11.432806
M2-S1,175.63,0.01,2.173484394930442,1.086742197465221,1000,28:20.8
M2-S2,346.84,0.01,0.9088346637964616,0.4544173318982308,5000,33:56.1
M2-S3,523.22,0.01,1.5616152972943056,0.7808076486471528,5000,22:30.3
M2-S4,702.65,0.01,1.3867643810970816,0.6933821905485408,9000,25:33.1
M2-S5,878.78,0.01,1.303372428742593,0.6516862143712965,13500,00:05.4
M2-S6,1070.1,0.01,2.379621852651983,1.1898109263259915,9000,30:59.0
M2-S7,1249.7,0.01,1.796981380675857,0.8984906903379285,12000,56:07.5
M2-M1,173.79,0.01,0.463481103729313,0.2317405518646565,2000,2024-10-06 01:47:25.946153
M1-D1,2373.6,0.01,10.0,0.0,4000,2025-10-28 16:37:57.400701
M2-D2,2094.05,0.01,15.0,0.0,8000,2025-01-23 17:22:53.776061
M1-C,919.0,0.02,0.2511274014927775,0.1223541653088929,1000,2025-12-08 16:40:53.078714
M1_ce,2008.78,0.02,0.6179152963739796,0.3045227479057782,15000,2025-01-20 09:52:35.311227
