stor_name,freq (MHz),precision (MHz),pi (mus),h_pi (mus),gain (DAC units),last_update
M1-S1,352.761852836948,,1.9361399223500404,0.9680699611750202,3435,2026-01-02 17:27:45.882910
M1-S2,524.792338133758,,1.903689018298604,0.951844509149302,4494,2026-01-02 17:28:57.044960
M1-S3,700.8755896270636,,1.8477869147640813,0.9238934573820408,4588,2026-01-02 17:30:08.518139
M1-S4,880.7534271972835,,1.558275168527537,0.7791375842637684,9223,2026-01-02 17:31:19.780998
M1-S5,1056.9253175916106,,1.87677039080734,0.9383851954036698,9987,2026-01-02 17:32:30.583480
M1-S6,1248.8389281876796,,1.8613095166588791,0.9306547583294396,13802,2026-01-02 17:33:42.300285
M1-S7,1427.0140234444984,,3.448308634611929,1.7241543173059646,9009,2026-01-02 17:34:53.159693
M1-S8,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S9,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S10,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S11,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1-S12,-1.0,-1.0,-1.0,-1.0,-1,51:31.3
M1,1998.6287694323498,,0.5815688667724646,0.28154881536397997,8000,2026-01-02 17:21:54.222277
M2,1834.95,0.01,1.054456464253018,0.5205148610361164,15000,2025-04-30 11:22:11.432806
M2-S1,175.63,0.01,2.173484394930442,1.086742197465221,1000,28:20.8
M2-S2,346.84,0.01,0.9088346637964616,0.4544173318982308,5000,33:56.1
M2-S3,523.22,0.01,1.5616152972943056,0.7808076486471528,5000,22:30.3
M2-S4,702.65,0.01,1.3867643810970816,0.6933821905485408,9000,25:33.1
M2-S5,878.78,0.01,1.303372428742593,0.6516862143712965,13500,00:05.4
M2-S6,1070.1,0.01,2.379621852651983,1.1898109263259915,9000,30:59.0
M2-S7,1249.7,0.01,1.796981380675857,0.8984906903379285,12000,56:07.5
M2-M1,173.79,0.01,0.463481103729313,0.2317405518646565,2000,2024-10-06 01:47:25.946153
M1-D1,2373.6,0.01,10.0,0.0,4000,2025-10-28 16:37:57.400701
M2-D2,2094.05,0.01,15.0,0.0,8000,2025-01-23 17:22:53.776061
M1-C,919.0,0.02,0.2511274014927775,0.1223541653088929,1000,2025-12-08 16:40:53.078714
M1_ce,2008.78,0.02,0.6179152963739796,0.3045227479057782,15000,2025-01-20 09:52:35.311227
